DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
0,7.4,6.61,5.56,142.32669626666666,282.868933778949,161.66077,80,1
1,8.78,8.3,6.14,234.16359506666663,514.3922266938425,302.42710000000005,80,1
2,10.88,10.81,7.35,452.39763519999997,1054.6718842525938,635.6971840000001,80,1
3,10.49,9.31,7.17,366.45674736999996,798.0373878357216,454.6161445,80,1
4,10.99,10.51,6.38,385.65546044666667,1026.445977987705,606.9782495,80,1
8,11.68,10.68,8.31,542.4922233599999,1152.0110049626514,666.124416,80,1
9,12.42,10.14,7.17,472.56015923999996,1168.6240262109695,638.509716,80,1
10,13.52,11.99,8.07,684.61720184,1706.5903937631228,971.818276,80,1
11,12.71,11.07,8.41,619.25220963,1379.9877835524544,778.7728395000001,80,1
14,14.71,12.58,8.27,800.8980220066667,2081.49539973275,1163.975822,80,1
15,14.14,13.54,9.37,938.8280620133332,2190.4714413362094,1296.1544119999999,80,1
16,14.63,13.13,9.44,948.9852105066666,2201.4005110810403,1261.0833235000002,80,1
17,14.22,13.92,9.48,982.0318348800001,2302.7337812930627,1377.679104,80,1
18,15.09,14.6,9.26,1067.6563316,2703.9498218216613,1608.2921999999999,80,1
21,15.8,15.28,13.77,1739.7737712,3101.7453972078565,1844.47936,80,1
0,9.49,8.63,6.64,284.59252258666663,612.8454934360867,353.3928905000001,86,2
3,11.62,10.04,7.66,467.6780725866666,1041.9460820095703,585.6572959999999,86,2
4,11.44,10.35,7.27,450.48380519999995,1065.3321806512492,612.7407,86,2
5,12.25,11.49,7.47,550.24374825,1380.7646529098838,808.6231125,86,2
6,12.09,11.95,7.91,598.06596395,1435.908590924911,863.2411124999999,86,2
7,12.84,11.18,7.93,595.7422650399999,1422.1510476727735,802.451208,86,2
10,13.45,12.2,9.2,790.0386533333332,1738.0355573865984,1000.9489999999997,86,2
11,13.29,11.85,10.57,871.1575729499999,1634.1822220268093,933.1075124999999,86,2
12,13.57,13.22,7.56,709.7599605600001,1986.7921658708508,1185.8035940000002,86,2
13,14.05,12.03,9.77,864.2012954499999,1816.972741541984,1016.6643224999998,86,2
14,13.15,12.86,9.84,870.8437064,1818.3838551209108,1087.37087,86,2
17,15.85,13.35,11.38,1260.1759645,2545.0790909231628,1412.4133124999998,86,2
18,14.83,13.94,9.34,1010.4834355866666,2457.770752609172,1440.909494,86,2
19,17.35,15.05,11.31,1545.52837075,3488.9074831548946,1964.9091875000004,86,2
0,8.05,6.89,7.52,218.2786909333333,341.5530265689696,191.07520250000002,133,3
1,8.93,8.07,6.64,250.42141815999997,505.85142186262027,290.78267850000003,133,3
2,9.95,9.46,7.31,360.0891136333333,755.10406869593,445.22071000000005,133,3
3,10.58,8.83,7.27,355.4341724866667,746.629321662831,412.455481,133,3
4,9.58,8.77,8.21,360.9829230066667,636.770797499908,368.41279099999997,133,3
8,11.57,11.37,9.4,647.1427273999999,1247.6024533446573,747.8668664999999,133,3
9,12.33,11.41,7.64,562.49734548,1379.7759353861902,802.6096365,133,3
10,13.61,11.98,8.5,725.2909636666666,1721.5034584598247,976.6563220000002,133,3
11,13.12,12.52,8.91,765.9391449599999,1740.7753588913713,1028.282624,133,3
14,13.72,13.47,9.28,897.5281548799999,2077.390041004189,1244.6845740000003,133,3
15,13.35,13.19,8.79,810.0155086499999,1932.0776492619696,1161.2904674999997,133,3
16,14.29,13.96,10.36,1081.5729078933332,2329.7641345877178,1392.429032,133,3
17,14.61,14.04,8.69,932.8579088399998,2429.1899194432895,1439.9732879999997,133,3
18,15.5,15.11,13.43,1646.0786151666666,2963.6692112504024,1769.4187749999999,133,3
0,8.73,6.89,6.5,204.6092295,385.73201243527825,207.2157165,144,4
1,10.91,10.53,5.64,339.08659667999996,1018.1579749158677,604.8553094999999,144,4
2,10.73,10.0,7.67,430.6986233333334,919.0413833457573,536.5,144,4
3,10.56,9.35,8.3,428.87627200000003,811.2389200886723,461.5908,144,4
4,10.27,8.93,6.8,326.36923453333327,726.220222768656,409.49006149999997,144,4
8,12.66,12.35,7.14,584.2211465999999,1616.5400901020846,965.4674249999999,144,4
9,12.11,11.7,7.93,588.0057728999999,1394.5384464996446,828.8689499999999,144,4
10,13.0,9.96,6.91,468.22989200000006,1218.258697841966,644.8104000000001,144,4
11,12.76,9.92,8.85,586.2515647999999,1177.5490446741583,627.832832,144,4
14,13.96,10.03,7.84,574.4878018133334,1369.9824748952492,702.1942819999999,144,4
15,12.09,9.79,8.01,496.1578950899999,1064.7532482179115,579.3775844999999,144,4
16,10.96,10.59,6.37,386.92281992,1033.9398067828156,614.571588,144,4
17,10.79,10.73,7.53,456.24124169,1030.0711758466757,621.1419955,144,4
18,11.47,10.6,6.2,394.49306266666673,1108.509474460454,644.3846,144,4
21,11.02,10.32,6.98,415.42737568,1002.8302420100448,586.828224,144,4
22,11.58,10.49,7.06,448.81477587999996,1107.0355207149555,637.1321790000001,144,4
23,11.89,10.45,7.42,482.48125823333334,1145.2035938462693,649.2088624999999,144,4
24,12.72,11.34,6.79,512.56428048,1432.4706533312853,817.868016,144,4
25,12.85,11.76,9.34,738.6449335999998,1536.0351667246316,888.5620799999999,144,4
29,12.16,11.72,6.53,487.0266939733334,1406.783495746391,835.1390720000002,144,4
30,12.62,11.19,8.09,597.8832143799999,1387.617111698338,790.1135909999998,144,4
31,12.91,12.04,9.53,775.2183201466665,1602.3765418180208,935.7271279999999,144,4
32,13.97,11.54,10.01,844.5292388866666,1692.5394771221208,930.203626,144,4
35,12.18,11.87,10.51,795.2050345399999,1437.416068858632,858.0621209999999,144,4
36,12.68,11.78,10.21,798.1209002933333,1509.4971612865857,879.7916559999999,144,4
37,13.64,11.22,10.31,825.7418391200001,1565.4756812881394,858.5588880000001,144,4
38,13.8,12.85,10.93,1014.333511,1952.5798613701497,1139.34525,144,4
42,15.03,13.11,10.3,1062.1290681,2287.0622896235705,1291.6188315,144,4
43,13.88,12.2,11.31,1002.2828504000001,1822.046388961753,1032.9496,144,4
44,15.24,12.46,9.98,991.7722404800002,2163.6648941750755,1183.0171920000003,144,4
45,15.91,13.16,11.85,1298.4427834,2505.097237425906,1377.691448,144,4
46,15.91,14.88,10.6,1313.2801312,3011.9319188562363,1761.3515520000003,144,4
49,14.97,14.46,13.41,1519.13814498,2633.4230016696165,1565.0506260000002,144,4
50,15.58,14.41,12.47,1465.1304192066666,2781.5228748626855,1617.578699,144,4
0,8.49,7.91,6.22,218.60140862,455.05275208785457,265.6015845,153,5
1,8.59,7.66,5.48,188.70390594666668,441.335014606962,252.011702,153,5
2,8.54,8.07,6.53,235.51739246,473.0778264254833,278.083323,153,5
3,9.42,8.07,6.11,243.07709946,548.0524719162887,306.73827900000003,153,5
4,9.46,8.058,6.06,241.751635752,550.3171962712765,307.12535172,153,5
8,7.83,7.33,6.96,209.05154136,359.529134852653,210.3486435,153,5
9,9.31,7.03,7.41,253.80584047000002,437.81737588672587,230.05428950000004,153,5
10,10.53,8.48,6.82,318.70361951999996,697.7049751143393,378.60825600000004,153,5
11,10.86,10.37,6.03,355.38925373999996,988.2079811704065,583.9253669999999,153,5
14,11.89,10.88,6.84,463.06851072,1216.6106380457059,703.7358080000001,153,5
15,10.37,10.09,7.14,390.9727887799999,884.9940861253921,527.8749985,153,5
16,13.81,12.37,8.28,740.23925604,1846.2076745093366,1056.5816945,153,5
17,11.64,9.98,6.91,420.08770088,1035.287015244171,579.6743280000001,153,5
18,11.25,10.07,8.47,502.16194875,997.0305693266104,570.4025625,153,5
21,12.8,10.87,7.83,570.1375872,1357.0465811599568,756.2041599999999,153,5
22,12.41,10.4,7.71,520.7603336,1212.392289879589,671.1328000000001,153,5
23,12.44,10.22,8.22,546.9170862400001,1185.3385226097846,649.669048,153,5
24,11.36,11.24,8.86,592.0477870933332,1193.0329776849612,717.597568,153,5
25,12.65,10.55,7.82,546.1703701666667,1274.8232115545384,703.9883125000001,153,5
29,12.69,11.86,8.39,660.82531194,1526.704379210728,892.4851619999998,153,5
30,13.74,12.23,9.92,872.37509696,1801.172341063504,1027.5658230000001,153,5
31,13.75,13.62,10.03,983.0127174999999,2119.118257725884,1275.3427499999998,153,5
32,12.67,12.44,8.73,720.09473676,1636.1796149034506,980.3640559999999,153,5
35,12.55,12.36,8.83,716.8054486,1597.4555388234796,958.62924,153,5
36,13.23,11.58,9.35,749.6497701000001,1567.9712309577405,887.047686,153,5
37,13.47,12.33,8.95,777.91492755,1769.8297581903942,1023.9146415,153,5
38,13.92,12.31,8.58,769.4191190399999,1854.7330760682655,1054.691256,153,5
42,14.43,13.72,10.2,1056.8151048,2303.382952879437,1358.140056,153,5
43,14.44,13.67,10.68,1103.27901616,2293.1847571446706,1349.193458,153,5
44,14.74,14.2,9.32,1020.8927930666666,2503.884123980503,1486.0867999999998,153,5
45,14.99,14.1,11.52,1274.2411392000001,2540.7773131103477,1490.08095,153,5
46,14.72,14.32,12.91,1424.1491268266666,2530.531376690726,1509.259264,153,5
49,14.56,14.44,12.43,1367.6598402133334,2520.7416482838084,1517.979008,153,5
50,15.58,14.46,11.21,1321.6600313200001,2796.0124705711773,1628.8235640000003,153,5
0,5.21,4.99,5.45,74.15034378333334,109.60816018927473,64.8647605,173,6
1,5.83,5.05,5.06,77.96305476666666,132.09165572810855,74.3397875,173,6
5,6.22,5.98,5.19,101.02696916,187.57408545586335,111.21484400000001,173,6
6,5.6,4.97,4.91,71.51617946666666,121.40934280332478,69.16251999999999,173,6
7,6.08,5.49,4.98,86.99287104000001,159.4591226384893,91.62590400000002,173,6
8,6.27,5.23,5.3,90.9543547,155.27063502771142,85.75134150000001,173,6
9,6.09,5.0,4.07,64.857485,138.93652427876773,76.125,173,6
12,6.24,5.55,4.62,83.7332496,168.52015265048783,96.10379999999999,173,6
13,7.58,6.13,5.23,127.17734864666669,261.89668714857083,142.416451,173,6
14,6.08,6.01,5.38,102.88184042666666,182.64280213866164,109.805104,173,6
15,5.95,5.84,4.98,90.5602376,169.36754947508928,101.46415999999999,173,6
19,5.64,5.52,5.14,83.74515647999998,143.63581971618802,85.92652799999998,173,6
20,6.92,6.84,5.64,139.70749247999998,269.26430121404405,161.87817599999997,173,6
21,6.43,5.41,5.21,94.84716603666665,169.6476475073494,94.0969415,173,6
22,6.7,6.22,6.06,132.16492359999998,222.4504382716317,129.60613999999998,173,6
23,7.46,7.23,6.65,187.7055733,327.53006530197456,194.97791700000002,173,6
26,8.64,7.84,7.63,270.47849472,460.9779926166242,265.531392,173,6
27,9.97,9.73,7.72,391.92565841333334,790.0370933674573,471.94440650000007,173,6
28,10.6,8.83,7.32,358.5552184,748.7474182411922,413.23517000000004,173,6
29,11.43,10.92,6.99,456.58794635999993,1153.025169857877,681.493176,173,6
34,11.83,10.56,8.21,536.74773152,1154.5386571621136,659.6029440000001,173,6
35,14.82,12.78,9.73,964.42907652,2155.2818459225014,1210.263444,173,6
36,11.93,11.09,7.02,486.0573330599999,1258.3268666794652,733.6240165,173,6
37,13.26,11.14,8.85,684.1485065999999,1484.4943773369298,822.780348,173,6
41,14.02,11.99,8.74,768.8772785466665,1802.1306777257864,1007.758301,173,6
42,16.59,15.19,14.99,1976.8976740099997,3307.818901227884,1913.9559494999999,173,6
0,5.66,5.65,5.18,86.69080513333333,149.53153899989675,90.340675,199,7
1,8.42,8.11,4.82,172.24966329333333,466.5894375628332,276.900541,199,7
6,7.65,7.09,5.18,147.0333417,330.29119032548584,192.2754825,199,7
7,8.51,7.62,6.19,210.06494182,431.7797611775504,247.064022,199,7
8,7.38,7.27,6.13,172.11932922,324.95381773887993,195.02720099999996,199,7
13,8.37,7.97,6.0,209.46594599999997,450.516969139935,265.83496649999995,199,7
14,9.0,8.48,6.32,252.425856,551.3063911727104,323.59680000000003,199,7
15,9.14,8.32,8.31,330.71123072000006,548.3271721018118,316.34636800000004,199,7
16,9.18,8.22,6.96,274.85404704,542.0099169791253,310.13895600000006,199,7
19,9.32,9.12,7.37,327.8359955199999,647.9650935394026,387.59270399999997,199,7
21,11.07,10.07,7.9,460.8743949,973.1978073810584,561.2761215,199,7
22,10.26,9.81,8.63,454.57501482,834.9491691353101,493.69119300000006,199,7
26,10.5,9.03,7.44,369.17168399999997,763.3980718894755,428.089725,199,7
27,11.44,8.84,8.75,463.08929333333333,840.9165867428051,446.99283199999996,199,7
28,12.29,11.23,11.22,810.40645906,1340.7041181217749,774.9637705,199,7
29,12.2,10.2,8.77,571.1339719999999,1147.8244944291396,634.6439999999999,199,7
30,11.49,10.7,10.81,695.5172377,1127.1746012455715,657.7450499999999,199,7
33,15.22,10.85,10.57,913.4773337666667,1754.696745462498,895.868225,199,7
34,16.62,12.09,12.46,1310.24876892,2355.1656856393824,1214.6569110000003,199,7
35,14.1,10.04,11.65,863.0921139999999,1392.7229200523443,710.6512799999998,199,7
36,15.1,11.98,10.0,946.6995333333333,2011.8061557010105,1083.5790200000001,199,7
40,18.58,14.49,12.18,1716.08889564,3652.637952721807,1950.529329,199,7
0,6.91,4.96,5.44,97.57465429333335,165.9109577763644,84.99852800000001,257,8
1,5.04,4.18,4.65,51.2670312,79.95501553121953,44.03044799999999,257,8
2,3.93,3.71,3.0,22.891071,46.034684879623924,27.046456499999998,257,8
5,8.71,7.98,6.08,221.15818816,479.1451033182497,277.32814200000007,257,8
6,9.67,8.45,6.25,267.2646979166666,610.7454767073159,345.23108749999994,257,8
7,11.15,10.9,6.59,419.1458568333333,1107.8667611899712,662.36575,257,8
8,11.5,9.77,6.67,392.1901081666666,984.745694697981,548.8541749999999,257,8
12,10.2,9.61,6.26,321.1266068,802.4552519500893,470.9957099999999,257,8
13,8.05,7.13,5.73,172.11488455,359.5535656633431,204.6185225,257,8
14,7.67,7.34,6.12,180.31059384,349.2791169995272,206.612926,257,8
15,5.98,4.98,5.15,80.26314140000001,134.37895973318936,74.15319600000001,257,8
16,7.3,6.53,5.88,146.6870468,272.13822432829653,155.639285,257,8
20,9.25,8.77,6.28,266.61180033333335,604.1537476267546,355.72216249999997,257,8
21,8.33,8.22,6.52,233.63764088,468.5012058843674,281.4223860000001,257,8
22,7.34,7.02,5.53,149.12027676,305.83363227534244,180.85906799999998,257,8
27,9.13,8.97,6.9,295.7268171000001,612.8163100857411,367.30400850000007,257,8
28,11.77,11.69,7.08,509.80328475999994,1334.510347780672,804.2211484999999,257,8
29,12.39,11.67,7.98,603.84218706,1437.6353009471036,843.6902355,257,8
34,11.98,11.45,9.31,668.3291185666667,1328.40022882983,785.303975,257,8
35,12.68,12.36,9.21,755.39786352,1622.3407281459974,968.559264,257,8
36,14.5,12.49,9.28,879.5424693333332,2015.2602816569952,1131.000725,257,8
37,15.16,15.0,12.57,1495.90542,2835.4446579643586,1705.5,257,8
40,15.69,13.81,10.78,1222.40123698,2637.3053628362,1496.1678045,257,8
41,17.93,16.28,14.41,2201.289026493333,4123.704339929235,2376.069256,257,8
0,6.29,5.28,6.64,115.40670592000001,158.25678422044598,87.67756800000001,287,9
1,9.8,9.3,6.48,309.0739680000001,719.4473562240721,423.8010000000001,287,9
6,7.92,6.92,6.5,186.43310399999996,335.49217774198524,189.630144,287,9
7,8.65,8.22,5.74,213.58867180000001,495.7553072051209,292.2333300000001,287,9
8,6.61,5.7,6.56,129.3476528,191.22732828930694,107.37945,287,9
13,8.33,7.59,6.59,218.04723786999998,415.6862417431846,239.9377365,287,9
14,8.34,7.3,5.66,180.33654280000002,392.7976227965879,222.2193,287,9
15,8.78,7.83,8.92,320.92202951999997,471.3243763964045,269.146071,287,9
16,8.09,8.33,6.49,228.88462340333336,457.43118523017756,280.6781005,287,9
19,7.97,7.83,4.68,152.84257092,407.6295033960714,244.3159665,287,9
21,10.06,9.75,10.0,513.3115,803.2289987065141,478.164375,287,9
22,8.98,7.79,8.14,298.00022838666666,483.78920792129946,272.471609,287,9
26,9.72,8.54,8.16,354.48077952,625.3478889128305,354.44757599999997,287,9
27,10.48,10.38,8.19,466.25224464,938.1524971180409,564.5806560000001,287,9
28,12.0,10.27,10.13,653.340428,1131.2615312401954,632.8374,287,9
29,11.69,11.55,9.54,674.0983557,1297.269560291569,779.7376125,287,9
30,11.23,10.49,8.56,527.7246819466667,1057.2272568054989,617.8751615000001,287,9
33,14.46,12.67,9.05,867.7045699000001,2050.4672937490423,1160.623947,287,9
34,14.89,13.25,8.87,915.8252085833333,2291.4023211061535,1307.0628125,287,9
35,14.29,11.84,10.39,919.9789204266666,1819.7485475290273,1001.6261119999999,287,9
36,13.93,12.07,10.27,903.6645129633332,1802.6983632838444,1014.6953285,287,9
40,14.5,13.45,12.68,1294.1598966666663,2252.013110468204,1311.543125,287,9
41,16.13,13.59,16.65,1910.0575804499997,2683.59034574625,1489.5095264999998,287,9
0,6.47,5.12,6.46,111.99152469333332,157.65104255649473,84.803584,315,10
1,5.61,5.43,5.67,90.39078278999999,139.02071599367423,82.70514449999999,315,10
5,5.19,4.74,5.66,72.86861724,100.89137338838223,58.303422000000005,315,10
6,5.37,4.57,5.0,64.215355,100.52433604341135,56.075956500000004,315,10
7,6.69,6.04,5.71,120.74733724,212.3880459320229,122.03095200000001,315,10
8,6.93,6.32,6.49,148.75562856000002,239.66849789929526,138.400416,315,10
9,5.71,5.1,5.08,77.41914919999999,129.94061297726972,74.25855,315,10
12,6.68,5.62,5.72,112.37952821333333,190.19743323045532,105.491896,315,10
13,7.86,7.46,6.43,197.31074851999998,371.25947390085116,218.710788,315,10
14,5.3,5.22,6.56,94.97922239999998,120.3247709279791,72.20826,315,10
15,6.33,6.17,6.37,130.19871683,201.82213482382951,120.4880685,315,10
19,5.58,4.95,6.9,99.73943100000001,120.03131981566058,68.361975,315,10
20,6.03,4.7,6.32,93.73691280000001,124.75508020811944,66.60135000000001,315,10
21,5.91,5.02,5.23,81.20285234,133.6202505265266,74.46718199999998,315,10
22,6.07,5.74,7.15,130.37220863333334,170.05380735704833,99.99596600000001,315,10
23,7.39,5.94,6.86,157.59172044,240.4815761659901,130.372902,315,10
26,7.08,6.47,6.89,165.17151715999998,256.35499985530396,148.18758599999998,315,10
27,9.51,9.3,7.33,339.2702961,687.7501327364931,411.25995000000006,315,10
28,8.74,8.57,7.3,286.14984326666666,536.0112025577381,320.95421300000004,315,10
29,9.04,7.94,7.96,299.00634090666665,502.8273407495459,284.957072,315,10
34,9.39,8.89,8.63,377.01319187000007,630.6472619234067,371.0557095000001,315,10
35,12.41,10.8,7.83,549.2065356,1283.0063035681787,723.7512000000002,315,10
36,10.68,8.73,7.45,363.5131842,744.4126236706913,406.97688600000004,315,10
37,10.86,9.77,8.77,486.97019385999994,903.6953926453155,518.3092469999999,315,10
41,11.06,10.23,8.55,506.2619331000001,995.1341396768042,578.730537,315,10
42,10.49,10.13,8.49,472.14024547,905.7594732516469,538.2256405,315,10
43,13.05,11.93,9.51,774.8361418499999,1606.2454766541664,928.6699725,315,10
44,11.02,10.04,8.67,502.0105018399999,962.295479463134,555.4168159999998,315,10
47,12.71,12.67,10.55,889.1049389833335,1689.7355173029098,1020.1611595,315,10
48,14.58,12.93,11.22,1106.94821292,2140.274898004391,1218.777921,315,10
49,16.96,15.87,12.37,1742.4120745599996,3651.233830044858,2135.7465119999997,315,10
0,5.89,5.2,3.87,62.0308884,140.15656407847254,79.6328,327,11
1,5.59,5.58,3.07,50.11442826,144.04709188180547,87.026238,327,11
2,5.44,5.42,3.45,53.234806400000004,132.38316623907107,79.90380800000001,327,11
3,5.78,5.05,3.27,49.9511357,130.39601206330883,73.702225,327,11
6,4.55,4.53,4.5,48.5400825,77.37486114394967,46.6850475,327,11
7,6.38,5.09,4.27,72.5679297933333,153.01823076329794,82.64683899999999,327,11
8,6.2,5.97,4.77,92.3980482,186.2020746652435,110.48678999999998,327,11
9,5.89,5.47,4.5,75.8740965,151.21309979934531,88.11705049999999,327,11
13,7.4,7.24,4.18,117.19928586666667,324.258159674299,193.94512,327,11
14,7.0,6.57,4.75,114.323475,257.88768226067975,151.07715000000002,327,11
15,7.78,7.25,5.94,175.340583,350.2772165678839,204.46812500000001,327,11
16,6.18,5.69,4.29,78.94714542,172.41958556505517,100.042149,327,11
17,8.09,7.39,5.64,176.46170116,382.2301357357642,220.90594449999998,327,11
20,9.08,8.33,5.11,202.26938209333332,543.9159063106943,315.02560600000004,327,11
21,8.61,7.97,5.52,198.23436695999993,470.0322900572246,273.4574745,327,11
22,9.34,8.47,6.07,251.30282767333335,581.8096422669814,335.030003,327,11
23,9.53,8.12,6.51,263.63818683999995,562.8710074679309,314.1774159999999,327,11
28,8.14,7.22,4.76,146.40198085333333,372.54427026605015,212.162588,327,11
29,13.21,10.61,7.88,577.9933166533333,1372.027407600035,743.5387205,327,11
30,13.55,12.98,7.94,730.8241460666668,1928.6635205616121,1141.45471,327,11
31,11.47,10.12,6.65,403.96521806666664,1034.073432286437,587.346584,327,11
34,12.8,11.18,7.88,590.1418154666667,1415.5106603940296,799.95136,327,11
35,13.53,13.22,8.02,750.7269690799999,1978.014005194874,1182.308226,327,11
36,14.22,13.11,7.64,745.37366472,2104.693776015432,1222.0106309999999,327,11
37,15.26,14.65,9.02,1055.3028075333332,2763.908885751203,1637.569675,327,11
41,18.09,16.55,13.37,2094.81835185,4283.416764574744,2477.4481125,327,11
